PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Flevoland;30357;26RK;26RK00;RK Basisschool De Toermalijn;Jade;49;3893 EB;ZEEWOLDE;0050;ZEEWOLDE;Rooms-Katholiek;0365226020;www.toermalijn.net;Gedempte Gracht;25;3894 BA;ZEEWOLDE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;17;Noordwest-Veluwe;Midden
Flevoland;30709;23FD;23FD01;Shri Laksmi School;Regentesseweg;1;1312 AA;ALMERE;0034;ALMERE;Hindoeïstisch;0365232514;www.shriganesha.nl;Postbus;52104;2505 CC;'S-GRAVENHAGE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40077;24EJ;24EJ00;Islamitische Basisschool Al Iman;Harderwijkoever;3;1324 HA;ALMERE;0034;ALMERE;Islamitisch;0365304737;www.noorscholen.nl;Harderwijkoever;3;1324 HA;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40077;28BL;28BL00;Al-Ihsaan;Schor;7;8224 CM;LELYSTAD;0995;LELYSTAD;Islamitisch;0320213849;www.noorscholen.nl;Johan Huizingalaan;112;1065 JE;AMSTERDAM;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;12PM;12PM00;Basisschool De Ark;Middenhof;210;1354 EV;ALMERE;0034;ALMERE;Protestants-Christelijk;0365310289;www.ark-almere.nl;Middenhof;210;1354 EV;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;12XA;12XA00;Basisschool de Driemaster;Tegelenpad;2;1324 DS;ALMERE;0034;ALMERE;Protestants-Christelijk;0365331399;www.driemaster-almere.nl;Tegelenpad;2;1324 DS;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;13CW;13CW00;Basisschool de Ichthus;Rijnweg;10;1316 EP;ALMERE;0034;ALMERE;Protestants-Christelijk;0365332746;www.pcb-ichthus.nl;Rijnweg;10;1316 EP;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;13IF;13IF00;Basisschool het Kompas;Binnenkruierstraat;5;1333 EC;ALMERE;0034;ALMERE;Protestants-Christelijk;0365321065;www.kompasalmere.nl/;Binnenkruierstraat;5;1333 EC;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;13NH;13NH00;Basisschool de Regenboog;Klipgriend;1;1356 GA;ALMERE;0034;ALMERE;Protestants-Christelijk;0365314937;regenboogalmere.nl;Klipgriend;1;1356 GA;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;23EV;23EV00;Protestants Christelijke Basisschool de Lichtboei;Luitstraat;7;1312 LH;ALMERE;0034;ALMERE;Protestants-Christelijk;0365361595;www.lichtboei.nl;Luitstraat;7;1312 LH;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;23ZV;23ZV00;Basisschool De Olijfboom;Bongerdstraat;2;1326 AB;ALMERE;0034;ALMERE;Protestants-Christelijk;0365376557;www.de-olijfboom.nl;Bongerdstraat;2;1326 AB;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;23ZW;23ZW00;Protestants Christelijke Basisschool de Buitenburcht;Zonnebloemweg;66;1338 TV;ALMERE;0034;ALMERE;Protestants-Christelijk;0365329271;www.buitenburcht.nl;Zonnebloemweg;66;1338 TV;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;25KT;25KT00;Basisschool De Kraanvogel;Perzikstraat;24;1326 HN;ALMERE;0034;ALMERE;Protestants-Christelijk;0365354527;www.dekraanvogel.nl;Perzikstraat;24;1326 HN;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;26AC;26AC00;De Omnibus;J.J. Slauerhoffstraat;53;1321 HE;ALMERE;0034;ALMERE;Samenwerking PC en RK;0365363125;www.de-omnibus.nl;J.J. Slauerhoffstraat;53;1321 HE;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;26AD;26AD00;Protestants Christelijke Basisschool De Dukdalf;Makassarweg;68;1335 HZ;ALMERE;0034;ALMERE;Protestants-Christelijk;0365325089;www.dukdalf-almere.nl;Makassarweg;68;1335 HZ;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;27AA;27AA00;De Optimist;Hildo Kropstraat;20;1328 BC;ALMERE;0034;ALMERE;Samenwerking PC en RK;0365369060;www.de-optimist.nl;Hildo Kropstraat;20;1328 BC;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;27XH;27XH00;Oecumenische Daltonschool De Windwijzer;Kraaiennest;4;1319 DA;ALMERE;0034;ALMERE;Samenwerking PC en RK;0365240540;www.windwijzer-almere.nl;Kraaiennest;4;1319 DA;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
Flevoland;40114;27XJ;27XJ00;Het Drieluik;Ten Harmsen v.d. Beekpad;4;1336 BK;ALMERE;0034;ALMERE;Samenwerking PC en RK;0365295623;www.drieluik-almere.nl;Ten Harmsen v.d. Beekpad;4;1336 BK;ALMERE;28;Harderwijk;15;Flevoland;18;Flevoland;40;Flevoland;10;Harderwijk-Amersfoort;18;Flevoland;Noord
